Quest/Stage Id,Name
214130,To Illuminate All Creation
214135,Arts Long Lost
214230,Voids Beyond
214330,"Absolute, Absolute Zero"
214430,Earth's Bounty
214530,Shifting Winds
214630,Slime After Slime
290002,Save the Crustaceans Part Deux
290003,Save the Crustaceans the Third
290004,Save the Crustaceans Reloaded
290005,Save the Crustaceans Beyond
290006,Save the Crustaceans Neo
290007,Save the Crustaceans Returns
290008,Save the Crustaceans Prime
290009,Save the Crustaceans New Dawn
290010,Save the Crustaceans Chronicles
290011,Save the Crustaceans Origins
290012,Save the Crustaceans Supremacy
290013,Save the Crustaceans Infinity
290014,Save the Crustaceans Rises
290015,Save the Crustaceans Finale
300000,I've Got Your Back
300002,Family Is Everything
300003,"Down, but Not Out"
300004,It's Just a Phase
300005,Words Left Unspoken
300006,Uninvited Guests
300007,Warm Threads
300008,Ludwin and Hans
300009,Vane the Squire
300010,Spark of Change
300011,Seedhollow's Armed Forces
300012,The Deceitful Nobleman
300013,The Hottest Fishing Spot
300014,Narmaya's Chosen Path
300015,One-Man Army
300016,A Modest Gift
300017,The Woman Who Pines for Death
300018,An Artist's Pain
300019,Confronted by the Past
300021,Wind
300022,Ticking Time Bomb
300023,A Dragon in Sheep's Clothing
301000,Pushing Forward
301002,Wraithwing Eggs
301003,Straighten Up and Fly Right
301004,Change of Heart
301005,So Long as We Draw Breath
301006,Crystal of Fortification
301007,Searching for Happiness
301008,Learning Together
301009,Lost Knight
301010,The Corps's Biggest Test
301011,A Little Help from the Shadows
301012,Soupstock's Trap
301013,The Votes Are In
301014,A Greater Whole
301015,A Duel for the Ages
301016,Crimson and Ebony
301017,Vestiges
301018,Sibling Squabble
301019,Day of Reckoning
301021,Illusion
301022,Righteous Execution
301023,A Clash of the Titans
401301,Make Our Skies Safe Again
401303,Worried about Papa
401305,Fort Fumigation
401306,Defeat-*wheeze*-Goblin Boss
401310,Bash the Goblin Hordes
401311,Guard Our Hometown
401315,Protect Our Woods
401316,Tomorrow's Prayers
402301,Rilla Done Did It
402302,Golemology 101: Desert Golems
402304,On the Front Lines
402306,I See a Bloody Vision
402308,Sweep the Volcano
402309,The Saga Continues: Fire
402310,Dagger Really Done Did It
402312,The Saga Continues: Ice
402313,Saga Grande: The Beginning
402314,"Spare the Rod, Spoil the Valley"
402315,Eye Have a Problem
402316,Only You Can Prevent Forest Flyers
403201,Delts of Our Lives
403202,Hide and Chic
403301,Rule the Skies
403302,The Juice of Jealousy
403303,Unthinning the Troops
403307,Protect the Rep
403308,Collector's Digest
403309,"Looming Tower, Leering Eye"
403311,I See a Flaming Vision
403312,Drumsticks au Griffin
404101,Wings of Antiquity
404204,Dark Refrain
404309,No One Likes Leftovers
404310,I See a Deathly Vision
404311,The Next Hot Topic
404313,Golemology 102: Volcanic Golems
404315,Seeds of Trouble
404316,A Bone to Peak
404317,Absolutely No Trespassers!
405101,License to Thrill
405201,Saga Illustrated: The Beginning
405202,Learning from the Past
405203,Saga Illustrated: Inferno
405205,To Know the Unknowable
405206,General Investigation: Gallanza
405207,General Investigation: Maglielle
405208,General Investigation: Id
405302,Wings of Conflagration
405303,Wings of Upheaval
405304,Wings of the Storm
405305,Wings of Rime
405308,Gulp... So These Are the Rumored Monsters
405309,Assault Formation!
405310,Great Goblins of Fire
405311,Shedding Light on the Pillar
406101,Back to the Fated Land
406323,I See a Chromatic Vision
406324,Revenge of the Hordes
406325,Hope in the Machine
406327,Hallowed Be Thy Ground
406330,The Saga Continues: Earth
406331,The Saga Continues: Wind
406332,Saga Illustrated: Crystal
406333,Saga Illustrated: Hellfire
406334,The Saga Continues: Silver
406335,Saga Illustrated: Veil
406337,Id Bears Repeating
406338,Saga Grande: Happily Ever After
406351,Roost and Reign
406352,Boss Done Wants It Did
406353,Know Your Enemy
406354,Serenity Upon the Mount
406355,Golemology 103: Forest Golems
406356,A New Breed
406357,"Death, Taxes, and Goblins"
406358,Icy Eye on the Holy Prize
406359,Rumble in the Desert
406360,I See a Grim Vision
406361,Slimepede
406364,Throw a Smith a Bone
406365,Armor Is Best Served Cold
406366,A Heated Rivalry
407101,The Final Report
407301,Blazing Trial
407302,Grounded Trial
407303,Stormy Trial
407304,Frigid Trial
407305,Worst Vacation Ever
407306,Trade Barriers
407307,Melting Pot of Hostility
407308,Banquet of Ice and Corpses
407309,For a Freer Folca
407310,A Quest of Fire and Earth
407311,A Quest of Frost and Storm
407312,The Wolf and the Veil
407313,Calamity Incarnate
407314,As Fierce as the Silver Wolf
407315,Memories of Fire
407316,Thunderbolts and Lightning
407317,Into the Abyss
407318,The Tale of Bahamut's Rage
407319,The Automagod Strikes Back
407320,The Final Vision
407321,Zero
407322,Lock Horns
407323,Dark Swordman's Nightmare
407324,Pageant of Might and Magic
407325,Zathba's 'Volunteers'
500A00,Folka (endgame)
501003,Seedhollow (endgame)
5F0001,Grandcypher (endgame)
601000,Practice
602000,Score Attack
603000,Time Attack
710000,Days of Our Zegagrande - The Automagod Strikes Back
710001,Days of Our Zegagrande - The Final Vision
720018,Lyria's Journal/Empty?
